Log File Version ,2.3
6/16/2011 2:28:03 PM
Log Mode ,Log When Any Data Received
,CaltermVersion,3.2.0.023
,ScreenMonitorType,RequestReceive
,Initial Monitor Rate,1 Milliseconds
--------------------------
Parameter Name,DLA Timestamp,Fuel_Temperature,Oil_Pressure,EGR_Orifice_Tmptr,Final_Timing,Battery_Voltage,Engine_Speed,Fuel_Delivery_Rate_Per_Min,Charge_Flow,Net_Brake_Torque,Fresh_Air_Flow,Boost_Pressure,Intake_Manifold_Temperature,EGR_Flow,Coolant_Temperature,EGR_Delta_Press,Filtered_Turbo_Speed,EGR_Fraction,TPE_Turb_Out_Press,Engine_Run_Time,PME_SootRate,V_ATP_pr_DPF_Delta,V_SFP_mg_Soot_Load_Comb,V_ATP_tr_DOC_Out,V_ATP_tr_DOC_In,V_ATP_tr_DPF_Out,TPE_Turbine_Press_Ratio,TPE_Turbine_Pressure_Ratio_Term,V_ATP_tr_Turbo_Out,Ambient_Air_Press,Ambient_Air_Tmptr,Accelerator_Pedal_Position,_Instantaneous_Percent_Load,Net_Brake_Torque,T_EMO_State_User_Override,T_CBL_EGR_Frac_User_Override,C_CBL_EGR_Frac_Override_Value
Units,none,Deg_C,kPa_G,Deg_C,deg_BTDC,V,RPM,None,kg/min,N_m,kg/min,kPa_G,Deg_C,kg/min,Deg_C,kPa,KRPM,None,kPa,s,g/hr,kPa,gm,Deg_K,Deg_K,Deg_K,None,%,Deg_K,kPa,Deg_C,%,%,N_m,None,None,None
Source Address,,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
,72:20:41.280,70.000,0.00,46.03,1.44,12.14,0.0,0.00000,0.000,-78.469,0.000,0.00,59.344,0.000,78.086,0.05,0.000,0.0000,130.000,306952,0.00000,-0.21,54.53,302.2,307.5,299.1,0.750,1.000,332.4,98.69,19.148,22.004,0.000,-78.469,1,0,0.0000 
,72:20:41.526,70.000,0.00,46.02,1.44,12.14,0.0,0.00000,0.000,-78.469,0.000,0.00,59.344,0.000,78.086,0.05,0.000,0.0000,130.000,306952,0.00000,-0.21,54.53,302.0,307.5,299.1,0.750,1.000,332.4,98.66,19.148,21.988,0.000,-78.469,1,0,0.0000 
,72:20:41.780,70.000,0.00,45.97,1.44,12.14,0.0,0.00000,0.000,-78.375,0.000,0.00,59.344,0.000,78.281,0.05,0.000,0.0000,130.000,306952,0.00000,-0.21,54.53,301.9,307.5,299.0,0.750,1.000,332.4,98.66,19.148,22.016,0.000,-78.375,1,0,0.0000 
,72:20:42.026,70.000,0.00,45.95,1.44,12.14,0.0,0.00000,0.000,-78.375,0.000,0.00,59.344,0.000,78.281,0.05,0.000,0.0000,130.000,306952,0.00000,-0.21,54.53,302.1,307.5,299.1,0.750,1.000,332.4,98.66,19.148,21.922,0.000,-78.375,1,0,0.0000 
,72:20:42.280,70.000,0.00,45.95,1.44,12.14,0.0,0.00000,0.000,-78.469,0.000,0.00,59.344,0.000,78.086,0.05,0.000,0.0000,130.000,306952,0.00000,-0.21,54.53,302.1,307.5,299.1,0.750,1.000,332.4,98.66,19.148,21.973,0.000,-78.469,1,0,0.0000 
,72:20:42.526,70.000,0.00,45.92,1.44,12.14,0.0,0.00000,0.000,-78.469,0.000,0.00,59.344,0.000,78.086,0.05,0.000,0.0000,130.000,306952,0.00000,-0.21,54.53,301.9,307.5,299.2,0.750,1.000,332.4,98.66,19.148,21.961,0.000,-78.469,1,0,0.0000 
,72:20:42.791,70.000,0.00,45.89,1.44,12.14,0.0,0.00000,0.000,-78.469,0.000,0.00,59.344,0.000,78.086,0.05,0.000,0.0000,130.000,306952,0.00000,-0.21,54.53,302.1,307.5,299.1,0.750,1.000,332.4,98.66,19.148,21.934,0.000,-78.469,1,0,0.0000 
,72:20:43.067,70.000,0.00,45.88,1.44,12.14,0.0,0.00000,0.000,-78.469,0.000,0.00,59.344,0.000,78.086,0.05,0.000,0.0000,130.000,306952,0.00000,-0.21,54.53,302.2,307.5,299.0,0.750,1.000,332.4,98.66,19.148,21.996,0.000,-78.469,1,0,0.0000 
,72:20:43.392,70.000,0.00,45.86,1.44,12.14,0.0,0.00000,0.000,-78.375,0.000,0.00,59.344,0.000,78.086,0.05,0.000,0.0000,130.000,306952,0.00000,-0.21,54.53,302.1,307.5,298.9,0.750,1.000,332.4,98.69,19.148,22.027,0.000,-78.375,1,0,0.0000 
,72:20:43.669,70.000,0.00,45.81,1.44,12.14,0.0,0.00000,0.000,-78.469,0.000,0.00,59.344,0.000,78.086,0.05,0.000,0.0000,130.000,306952,0.00000,-0.21,54.53,302.2,307.5,298.9,0.750,1.000,332.4,98.69,19.148,22.023,0.000,-78.469,1,0,0.0000 
,72:20:43.951,70.000,0.00,45.75,1.44,12.14,0.0,0.00000,0.000,-78.469,0.000,0.00,59.344,0.000,78.086,0.05,0.000,0.0000,130.000,306952,0.00000,-0.21,54.53,302.1,307.5,299.0,0.750,1.000,332.4,98.69,19.148,22.016,0.000,-78.469,1,0,0.0000 
,72:20:44.225,70.000,0.00,45.61,1.44,12.14,0.0,0.00000,0.000,-78.469,0.000,0.00,59.344,0.000,78.086,0.05,0.000,0.0000,130.000,306952,0.00000,-0.21,54.53,301.9,307.5,298.9,0.750,1.000,332.4,98.66,19.148,21.988,0.000,-78.469,1,0,0.0000 
,72:20:44.555,70.000,0.00,45.45,1.44,12.14,0.0,0.00000,0.000,-78.469,0.000,0.00,59.344,0.000,78.086,0.05,0.000,0.0000,130.000,306952,0.00000,-0.21,54.53,302.2,307.5,298.9,0.750,1.000,332.4,98.69,19.148,21.988,0.000,-78.469,1,0,0.0000 
,72:20:44.875,70.000,0.00,45.48,1.44,12.14,0.0,0.00000,0.000,-78.469,0.000,0.00,59.344,0.000,78.086,0.05,0.000,0.0000,130.000,306952,0.00000,-0.21,54.53,302.0,307.5,298.8,0.750,1.000,332.4,98.72,19.148,22.012,0.000,-78.469,1,0,0.0000 
,72:20:45.156,70.000,0.00,45.58,1.44,12.14,0.0,0.00000,0.000,-78.469,0.000,0.00,59.344,0.000,78.086,0.05,0.000,0.0000,130.000,306952,0.00000,-0.21,54.53,302.3,307.5,298.9,0.750,1.000,332.4,98.72,19.148,21.988,0.000,-78.469,1,0,0.0000 
,72:20:45.453,70.000,0.00,45.66,1.44,12.14,0.0,0.00000,0.000,-78.375,0.000,0.00,59.344,0.000,78.086,0.05,0.000,0.0000,130.000,306952,0.00000,-0.21,54.53,302.4,307.5,298.8,0.750,1.000,332.4,98.69,19.148,21.945,0.000,-78.375,1,0,0.0000 
,72:20:45.753,70.000,0.00,45.70,1.44,12.14,0.0,0.00000,0.000,-78.469,0.000,0.00,59.344,0.000,78.086,0.05,0.000,0.0000,130.000,306952,0.00000,-0.21,54.53,302.0,307.5,298.8,0.750,1.000,332.4,98.66,19.148,21.996,0.000,-78.469,1,0,0.0000 
,72:20:46.057,70.000,0.00,45.75,1.44,12.14,0.0,0.00000,0.000,-78.469,0.000,0.00,59.344,0.000,78.086,0.05,0.000,0.0000,130.000,306952,0.00000,-0.21,54.53,302.2,307.5,298.7,0.750,1.000,332.4,98.66,19.148,21.984,0.000,-78.469,1,0,0.0000 
,72:20:46.329,70.000,0.00,45.78,1.44,12.14,0.0,0.00000,0.000,-78.469,0.000,0.00,59.344,0.000,78.086,0.05,0.000,0.0000,130.000,306952,0.00000,-0.21,54.53,301.9,307.5,298.6,0.750,1.000,332.4,98.66,19.148,22.016,0.000,-78.469,1,0,0.0000 
